Size (n*n),Runtime
565,0.0035402774810791016
566,0.003566265106201172
567,0.0035920143127441406
568,0.0036191940307617188
569,0.003634929656982422
570,0.0036537647247314453
571,0.003690958023071289
572,0.003621816635131836
573,0.003640890121459961
574,0.003803730010986328
575,0.0036818981170654297
576,0.0036411285400390625
577,0.003498077392578125
578,0.003567934036254883
579,0.0037267208099365234
580,0.003751039505004883
581,0.0038352012634277344
582,0.003740072250366211
583,0.0037870407104492188
584,0.003573894500732422
585,0.003841876983642578
586,0.003857135772705078
587,0.003905057907104492
588,0.003857135772705078
589,0.0038580894470214844
590,0.00391077995300293
591,0.0038809776306152344
592,0.004055976867675781
593,0.003988027572631836
594,0.0036847591400146484
595,0.0037560462951660156
596,0.004048824310302734
597,0.003948211669921875
598,0.0039598941802978516
599,0.004047870635986328
600,0.0041010379791259766
601,0.0040318965911865234
602,0.0040891170501708984
603,0.0041120052337646484
604,0.004061222076416016
605,0.004246950149536133
606,0.004261970520019531
607,0.0047380924224853516
608,0.004328250885009766
609,0.004118680953979492
610,0.004290103912353516
611,0.003968000411987305
612,0.004256010055541992
613,0.004148006439208984
614,0.004174232482910156
615,0.004355907440185547
616,0.004138946533203125
617,0.004208087921142578
618,0.0043141841888427734
619,0.004230022430419922
620,0.004291057586669922
621,0.00428009033203125
622,0.0042841434478759766
623,0.004328012466430664
624,0.0043430328369140625
625,0.004313945770263672
626,0.004355192184448242
627,0.004374027252197266
628,0.004127979278564453
629,0.004207134246826172
630,0.004594326019287109
631,0.004452943801879883
632,0.004477977752685547
633,0.004409074783325195
634,0.004544973373413086
635,0.004580020904541016
636,0.004534721374511719
637,0.004590034484863281
638,0.004612922668457031
639,0.0045948028564453125
640,0.004644155502319336
641,0.004755258560180664
642,0.004590034484863281
643,0.0047168731689453125
644,0.0046880245208740234
645,0.004568815231323242
646,0.0045239925384521484
647,0.004698753356933594
648,0.004642963409423828
649,0.004776954650878906
650,0.004677772521972656
651,0.00471186637878418
652,0.004717111587524414
653,0.004735231399536133
654,0.00478672981262207
655,0.004813194274902344
656,0.004956960678100586
657,0.004853963851928711
658,0.004996776580810547
659,0.004875898361206055
660,0.004843950271606445
661,0.004868745803833008
662,0.004667043685913086
663,0.004676103591918945
664,0.0050318241119384766
665,0.0051000118255615234
666,0.005029201507568359
667,0.004897117614746094
668,0.005018949508666992
669,0.005654096603393555
670,0.006054878234863281
671,0.004923820495605469
672,0.005051136016845703
673,0.005132913589477539
674,0.005086183547973633
675,0.005306243896484375
676,0.005269765853881836
677,0.005159854888916016
678,0.00515294075012207
679,0.005072832107543945
680,0.0049190521240234375
681,0.005398750305175781
682,0.0053141117095947266
683,0.005311012268066406
684,0.005321025848388672
685,0.005301237106323242
686,0.005303859710693359
687,0.005301952362060547
688,0.005286216735839844
689,0.005264997482299805
690,0.005391836166381836
691,0.005330085754394531
692,0.005404233932495117
693,0.005331277847290039
694,0.005440950393676758
695,0.005415201187133789
696,0.005388975143432617
697,0.0052378177642822266
698,0.005630970001220703
699,0.005446195602416992
700,0.005480289459228516
701,0.0054759979248046875
702,0.005568027496337891
703,0.00556492805480957
704,0.0055921077728271484
705,0.005692243576049805
706,0.005521297454833984
707,0.005580902099609375
708,0.00561976432800293
709,0.005672931671142578
710,0.005644083023071289
711,0.005661964416503906
712,0.005833864212036133
713,0.005470991134643555
714,0.005501985549926758
715,0.005771160125732422
716,0.005778074264526367
717,0.005891084671020508
718,0.00590205192565918
719,0.005846977233886719
720,0.005858898162841797
721,0.0057599544525146484
722,0.005813121795654297
723,0.005989789962768555
724,0.005957126617431641
725,0.0058650970458984375
726,0.0060999393463134766
727,0.005992889404296875
728,0.0059850215911865234
729,0.005903005599975586
730,0.005697011947631836
731,0.006100893020629883
732,0.006143808364868164
733,0.006020069122314453
734,0.006172895431518555
735,0.006081819534301758
736,0.006116151809692383
737,0.006129741668701172
738,0.006293058395385742
739,0.006057262420654297
740,0.006066799163818359
741,0.0062520503997802734
742,0.00635075569152832
743,0.006132841110229492
744,0.0061261653900146484
745,0.006288051605224609
746,0.006306648254394531
747,0.00603795051574707
748,0.006281852722167969
749,0.0064258575439453125
750,0.0062770843505859375
751,0.006376981735229492
752,0.006333827972412109
753,0.006734132766723633
754,0.006578922271728516
755,0.006479978561401367
756,0.00640106201171875
757,0.006534099578857422
758,0.006439924240112305
759,0.0064961910247802734
760,0.006617069244384766
761,0.006553173065185547
762,0.006545305252075195
763,0.006600141525268555
764,0.006439924240112305
765,0.006601095199584961
766,0.006790876388549805
767,0.006807088851928711
768,0.006717205047607422
769,0.006793975830078125
770,0.0066759586334228516
771,0.006721019744873047
772,0.007583141326904297
773,0.006816864013671875
774,0.007043123245239258
775,0.007043123245239258
776,0.006903886795043945
777,0.006799221038818359
778,0.0069158077239990234
779,0.006737947463989258
780,0.0067901611328125
781,0.006493806838989258
782,0.006856203079223633
783,0.0069119930267333984
784,0.006968021392822266
785,0.007016897201538086
786,0.006985902786254883
787,0.0070188045501708984
788,0.007085084915161133
789,0.00700688362121582
790,0.007172822952270508
791,0.007082939147949219
792,0.007210969924926758
793,0.007108211517333984
794,0.0073926448822021484
795,0.0072782039642333984
796,0.007108926773071289
797,0.007214069366455078
798,0.0069162845611572266
799,0.007275104522705078
800,0.007145881652832031
801,0.007355928421020508
802,0.0072841644287109375
803,0.007262229919433594
804,0.007339000701904297
805,0.007269859313964844
806,0.0074312686920166016
807,0.007328987121582031
808,0.007313251495361328
809,0.007547140121459961
810,0.007400035858154297
811,0.007458925247192383
812,0.0073850154876708984
813,0.007445096969604492
814,0.007416248321533203
815,0.007111072540283203
816,0.007795095443725586
817,0.007643222808837891
818,0.007733821868896484
819,0.007621288299560547
820,0.007729291915893555
821,0.007712841033935547
822,0.0076558589935302734
823,0.007771015167236328
824,0.007809877395629883
825,0.007829904556274414
826,0.0077631473541259766
827,0.008030891418457031
828,0.007709980010986328
829,0.007401943206787109
830,0.007817983627319336
831,0.007877111434936523
832,0.00728297233581543
833,0.007879972457885742
834,0.007977008819580078
835,0.007658958435058594
836,0.007730960845947266
837,0.00816202163696289
838,0.008026123046875
839,0.00798487663269043
840,0.007932901382446289
841,0.007929086685180664
842,0.008014917373657227
843,0.008040904998779297
844,0.008009910583496094
845,0.008202791213989258
846,0.008133172988891602
847,0.007993221282958984
848,0.007788181304931641
849,0.007668972015380859
850,0.008169889450073242
851,0.008257865905761719
852,0.008367776870727539
853,0.008321046829223633
854,0.008028030395507812
855,0.008238077163696289
856,0.008252859115600586
857,0.008004188537597656
858,0.008165836334228516
859,0.008285760879516602
860,0.008418083190917969
861,0.00839996337890625
862,0.008428096771240234
863,0.008322000503540039
864,0.008382081985473633
865,0.008493185043334961
